,PLAYERS,RATING,match_week
450,Abdul Kadir Zailani,7.073298674232962,20171017
1299,Humblers Heymard,7.046066572543854,20171017
548,Bedrich Valenta,7.000251515639704,20171017
495,Wandy Luis Roman Gonzalez,6.999474346776314,20171017
1132,Amrullo Bakhshullaev,6.999474346776314,20171017
101,Yannick Blondin,6.999474346776314,20171017
349,Peter Roenn Stensaeth,6.999474346776314,20171017
195,Kartikey Gulshan Kumar,6.99808850688799,20171017
1347,Fahmi Mubarok,6.95455617877148,20171017
695,Kai Wun Tee,6.940757803432698,20171017
791,Israel Wanagalya,6.899563369093936,20171017
189,Khuvituguldur Byambajav,6.8804113344794935,20171017
832,Irfan Ali Bhadusha Abdul Vahab,6.8804113344794935,20171017
89,Pin Chun Chao,6.873976261502214,20171017
1357,Bagas Kristianto Nugroho,6.817047417794662,20171017
1135,Yim Seung Ki,6.806592864892512,20171017
803,Ratnajit Tamang,6.7684189138543225,20171017
356,Mahmoud Montaser Mahmoud,6.753343357581684,20171017
1215,Pachaarapol Nipornram,6.751694234423658,20171017
806,Mohamad Charmali,6.703173675932131,20171017
680,Lu Chia Hung,6.6338309934134045,20171017
350,Yan Runze,6.605218759241033,20171017
254,Trung Hieu,6.584098924188886,20171017
177,Enis Sesalan,6.574738994687539,20171017
1261,Dacmen Vong,6.549951035147227,20171017
842,Gustavo Alfredo Salazar,6.539672968142803,20171017
380,Oscar Guo,6.447849911072648,20171017
671,Haidar M. Besha,6.446203560405802,20171017
394,Peyo Boichinov,6.43750427396076,20171017
630,Rasmus Messerschmidt,6.432244566426899,20171017
229,Bradley Graham,6.4127611395689215,20171017
1190,Sony Dwi Kuncoro,6.407984126338608,20171017
1232,Shreyansh Jaiswal,6.3970824709097585,20171017
296,Nikita Agalakov,6.384718885829908,20171017
1130,Nikita Lemeshko,6.347498931144397,20171017
701,Wilmer Daniel Brea Nuñez,6.297003572247695,20171017
488,Jacob Musisi,6.2955772799677945,20171017
1054,Carlos Daniel Albanes Cordon,6.2873892273407535,20171017
501,Yonatan Linarez,6.281063062350228,20171017
633,Clement Krobakpo,6.274243679339264,20171017
905,Utkarsh Arora,6.266011392892665,20171017
546,Joshua Adeyemi Odelabi,6.259284245695696,20171017
850,Craig Allison,6.250746638064818,20171017
515,Kemar Valentine,6.250746638064818,20171017
1007,Mohamad Pairavand,6.250746638064818,20171017
737,Armin Zakizadeh,6.250746638064818,20171017
272,Aman Kumar,6.245991018025464,20171017
1317,Redy Perdana,6.228060589571168,20171017
247,Sabuhi Huseynov,6.184405370930129,20171017
551,Amirhossein Noralyani,6.1832359749903425,20171017
178,Shaquille Palmer,6.159240004646037,20171017
1239,Rüdiger Gnedt,6.149975527681491,20171017
253,Mohamed Ajfan Rasheed,6.114296374274971,20171017
1021,Mark Shelley Alcala,6.088144793477024,20171017
659,Huang Da Wei,6.043097809954013,20171017
662,Ahmetcan Oruc,6.040645223468665,20171017
1108,Liu Haichao,5.9690551773762515,20171017
194,Chun Seang Tan,5.9489851524912645,20171017
389,Dewantoro Pandu,5.910888773455511,20171017
1242,Raymond Sing,5.90678358949277,20171017
175,Iztok Utrosa,5.806872434846522,20171017
1216,Ridzwan Rahmat,5.7999964539570605,20171017
623,Masoud Piroozi,5.795363172659002,20171017
716,Muhammad Rehan Diaz,5.758596630914688,20171017
598,Aryamann Tandon,5.690773296230184,20171017
1086,Tejraj Pultoo,5.669648934330649,20171017
988,Hoang Nam Nguyen,5.666867493258048,20171017
1023,En Chia Chang,5.645686447790361,20171017
677,Reimi Starling Cabrera Rosario,5.610231554662086,20171017
724,Jacob Schueler,5.585331584530092,20171017
995,Kiran Kumar Mekala,5.568847171190807,20171017
252,Muhammad Elaf Wei Tan,5.553748893325544,20171017
1348,Kervin Ghislain,5.54543879742377,20171017
524,Arturo Hernandez,5.536742092142216,20171017
125,Vincent Medina,5.522490088507343,20171017
993,Chin Yong Chian,5.5024374986708064,20171017
257,Kaninpong Yokard,5.43139918295735,20171017
145,Sola Abiodun,5.43139918295735,20171017
592,Muzafar Lubega,5.43139918295735,20171017
415,Edwin Njeri,5.43139918295735,20171017
274,Oscar Bansal,5.43139918295735,20171017
693,Patrick Kinyua Mbogo,5.403638632523968,20171017
817,Chee Foong Lim,5.39181087412593,20171017
1030,Pawel Pradzinski,5.2930080136591044,20171017
85,Alonso Medel,5.2533008490040665,20171017
713,David Jones,5.235677175541305,20171017
1276,C. Rohit Yadav,5.213399882885149,20171017
777,Riyanto Subagja,5.189744104561637,20171017
1327,Mayank Ahuja,5.165352007954446,20171017
117,Joel König,5.149178520707817,20171017
310,Ernesto Reyes,5.08558998547759,20171017
67,Kyrylo Leonov,5.048036936238358,20171017
813,Milan Ludik,5.019219241219012,20171017
8,Muhammad Sufiyuddin Mohamed Shafei,4.944910139544422,20171017
926,Muhammad Syafiq A Sanusi,4.917540295881398,20171017
1063,Nicardo Reid,4.822923174564956,20171017
593,Orkhan Galandarov,4.7621682948194035,20171017
109,Yipeng Yang,4.723851572463776,20171017
1229,Rajat Rathore,4.670497803203716,20171017
1134,Christian Lind Thomsen,4.659716064415928,20171017
827,Vilson Vattanirappel,4.636034026698727,20171017
648,Cham Chen,4.537958699921374,20171017
825,Abhyansh Singh,4.513371307637685,20171017
654,Herbert Ebayo,4.463331907893846,20171017
452,David Peng,4.407308636364233,20171017
517,Salvador Sanchez,4.401674071378366,20171017
486,Kevin Barkman,4.315955697354088,20171017
373,Chayanin Mekmusik,4.315739217678679,20171017
219,Davies Senono,4.275909225675292,20171017
894,Harshit Aggarwal,4.2319463024832835,20171017
407,Mathew Fogarty,4.085855851030608,20171017
588,Vinson Chiu,3.9273011865513148,20171017
351,Koji Naito,3.8828474915114093,20171017
1295,Arun Kumar Ashok Kumar,3.811428534027744,20171017
543,Grimaldy Navirio Gunawan,3.5649075496205533,20171017
326,Kuo Ching-Hung,3.443041234161484,20171017
679,Yulianto Ilham Sri,3.1807884521567633,20171017
1265,Jun Yan Ng,3.17124579003732,20171017
1252,Nathaniel Ernestan Sulistyo,3.1372404589618785,20171017
94,Jaromir Janacek,2.847313348967809,20171017
1085,Jaspar Woon Chai Yu,2.5713614468804007,20171017
1334,Kai Ho Tang,2.3305913989848346,20171017
839,Yodsakorn Nualnooplong,1.6520838907036257,20171017
103,Vincent Cheng Wei Phuah,1.5515742829950447,20171017
984,Phillips Jap,1.5152756188087473,20171017
237,Alen Roj,1.420823347002841,20171017
615,Dylan Soedjasa,1.235496280305675,20171017
192,Jose Luis Granados Morales,1.2118344202074027,20171017
1264,Kandis Wanaroon,1.192875903379651,20171017
371,Luis Eduardo Palacios Velazquez,1.1604345782749625,20171017
669,Yeoh Seng Zoe,1.158861663619632,20171017
162,Misbun Ramdan Mohmed Misbun,1.1462350565279174,20171017
1306,Muhammad Naim Ahmad Fairuzly,1.1453068733379972,20171017
423,Kwong Beng Chan,1.1409298498147962,20171017
914,Diego Castillo,1.0883897172374937,20171017
451,Brian Yang,1.0743292499328696,20171017
927,Andrey Parakhodin,1.0613823080221714,20171017
1288,Jonathan Matias,1.0597427109367494,20171017
820,Femi Bioku,1.0590027199352825,20171017
357,Manuel Vazquez,1.037869465371891,20171017
455,Muhammad Aiman Abd Malek,1.0128670219470521,20171017
1361,Fong Hau Sim,0.9965434152150294,20171017
702,Calvin Lin,0.9935419808545447,20171017
1280,Nonpakorn Nantatheero,0.9923999734875508,20171017
944,Minoru Koga,0.9778650557965918,20171017
150,Rio Agustino,0.9677262571400718,20171017
70,Saul Solis,0.9574144491025045,20171017
901,Lukas Zevl,0.9568185226701331,20171017
1331,Zhe Ming Nigel Yap,0.9558838605724809,20171017
493,Chuan-En Hu,0.9475058576086894,20171017
1310,Lucas Constant Da Silva,0.9446329261962312,20171017
290,Humberto Aguirre Fajardo,0.9254350590320684,20171017
500,Septian Dwi Maulana,0.9227642163337322,20171017
